Category,Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Fiber (g),Sugars (g),Protein (g),Weight Watcher Pnts
Iced Cappuccino,"Butter Pecan Swirl Iced Cappuccino with Whole Milk, Large",370,8,4.5,0,25,390,63,0,60,11,423.5
Iced Cappuccino,"Butter Pecan Swirl Iced Cappuccino with Whole Milk, Medium",280,6,3.5,0,20,290,47,0,45,8,320.5
Iced Cappuccino,"Butter Pecan Swirl Iced Cappuccino with Whole Milk, Small",190,4,2.5,0,15,190,32,0,30,5,217.5
Iced Coffee,"Caramel Swirl Iced Coffee, Large",230,0,0,0,<5,85,52,0,51,3,278
Iced Coffee,"Caramel Swirl Iced Coffee, Medium",170,0,0,0,<5,65,39,0,38,3,205
Iced Coffee,"Caramel Swirl Iced Coffee, Small",110,0,0,0,0,45,26,0,26,2,134
Iced Coffee,"Caramel Swirl Iced Coffee with Cream, Large",340,12,6,0,40,130,53,0,53,5,394
Iced Coffee,"Caramel Swirl Iced Coffee with Cream, Medium",260,9,4.5,0,30,95,40,0,40,4,300.5
Iced Coffee,"Caramel Swirl Iced Coffee with Cream, Small",170,6,3,0,20,65,27,0,26,3,196
Iced Coffee,"French Vanilla Swirl Iced Coffee, Large",220,0,0,0,<5,80,51,0,49,3,266
Iced Coffee,"French Vanilla Swirl Iced Coffee, Medium",170,0,0,0,<5,60,38,0,37,2,205
Iced Coffee,"French Vanilla Swirl Iced Coffee, Small",110,0,0,0,0,40,26,0,24,2,132
Iced Coffee,"French Vanilla Swirl Iced Coffee with Cream, Large",340,12,6,0,40,120,53,0,50,5,391
Iced Coffee,"French Vanilla Swirl Iced Coffee with Cream, Medium",250,9,4.5,0,30,90,40,0,38,4,288.5
Iced Coffee,"French Vanilla Swirl Iced Coffee with Cream, Small",170,6,3,0,20,60,26,0,25,2,196
Iced Coffee,"Hazelnut Swirl Iced Coffee, Large",220,0,0,0,<5,80,51,0,49,3,266
Iced Coffee,"Hazelnut Swirl Iced Coffee, Medium",170,0,0,0,<5,60,38,0,37,2,205
Iced Coffee,"Hazelnut Swirl Iced Coffee, Small",110,0,0,0,0,40,26,0,24,2,132
Iced Coffee,"Hazelnut Swirl Iced Coffee with Cream, Large",340,12,6,0,40,120,53,0,50,5,391
Iced Coffee,"Hazelnut Swirl Iced Coffee with Cream, Medium",250,9,4.5,0,30,90,40,0,38,4,288.5
Iced Coffee,"Hazelnut Swirl Iced Coffee with Cream, Small",170,6,3,0,20,60,27,0,25,2,196
Iced Coffee,"Iced Cafe Au Lait with Skim Milk, Large",90,0,0,0,<5,120,12,0,12,9,93
Iced Coffee,"Iced Cafe Au Lait with Skim Milk, Medium",60,0,0,0,<5,90,9,0,9,6,63
Iced Coffee,"Iced Cafe Au Lait with Skim Milk, Small",45,0,0,0,0,60,6,0,6,4,47
Iced Coffee,"Iced Cafe Au Lait with Whole Milk, Large",150,8,4.5,0,25,120,12,0,12,8,158.5
Iced Coffee,"Iced Cafe Au Lait with Whole Milk, Medium",110,6,3.5,0,20,90,9,0,9,6,116.5
Iced Coffee,"Iced Cafe Au Lait with Whole Milk, Small",80,4,2.5,0,10,60,6,0,6,4,84.5
Iced Coffee,"Iced Coffee, Large",5,0,0,0,0,20,0,0,0,1,4
Iced Coffee,"Iced Coffee, Medium",5,0,0,0,0,15,0,0,0,0,5
Iced Coffee,"Iced Coffee, Small",5,0,0,0,0,10,0,0,0,0,5
Iced Coffee,"Iced Coffee with Almond Milk, Large",35,1,0,0,0,75,5,0,5,1,39
Iced Coffee,"Iced Coffee with Almond Milk, Medium",25,0.5,0,0,0,50,4,0,3,1,27
Iced Coffee,"Iced Coffee with Almond Milk, Small",15,0,0,0,0,30,2,0,2,0,17
Iced Coffee,"Iced Coffee with Cream, Large",120,12,6,0,35,65,2,0,2,2,126
Iced Coffee,"Iced Coffee with Cream, Medium",90,9,4.5,0,25,45,1,0,1,2,93.5
Iced Coffee,"Iced Coffee with Cream, Small",60,6,3,0,20,30,1,0,1,1,63
Iced Coffee,"Iced Coffee with Cream and Sugar, Large",260,12,6,0,35,65,37,0,36,2,300
Iced Coffee,"Iced Coffee with Cream and Sugar, Medium",190,9,4.5,0,25,45,27,0,27,2,219.5
Iced Coffee,"Iced Coffee with Cream and Sugar, Small",130,6,3,0,20,30,18,0,18,1,150
Iced Coffee,"Iced Coffee with Skim Milk, Large",25,0,0,0,0,45,3,0,3,3,25
Iced Coffee,"Iced Coffee with Skim Milk, Medium",20,0,0,0,0,35,2,0,2,2,20
Iced Coffee,"Iced Coffee with Skim Milk, Small",15,0,0,0,0,25,2,0,2,1,16
Iced Coffee,"Iced Coffee with Skim Milk and Sugar, Large",160,0,0,0,0,45,38,0,38,3,195
Iced Coffee,"Iced Coffee with Skim Milk and Sugar, Medium",120,0,0,0,0,35,28,0,28,2,146
Iced Coffee,"Iced Coffee with Skim Milk and Sugar, Small",80,0,0,0,0,25,19,0,19,1,98
Iced Coffee,"Iced Coffee with Sugar, Large",140,0,0,0,0,20,35,0,35,1,174
Iced Coffee,"Iced Coffee with Sugar, Medium",110,0,0,0,0,15,26,0,26,0,136
Iced Coffee,"Iced Coffee with Sugar, Small",70,0,0,0,0,10,17,0,17,0,87
Iced Coffee,"Iced Coffee with Whole Milk, Large",40,2,1,0,<5,45,3,0,3,3,41
Iced Coffee,"Iced Coffee with Whole Milk, Medium",30,1.5,1,0,<5,35,2,0,2,2,31
Iced Coffee,"Iced Coffee with Whole Milk, Small",20,1,0.5,0,<5,25,1,0,1,1,20.5
Iced Coffee,"Iced Coffee with Whole Milk and Sugar, Large",180,2,1,0,<5,45,38,0,38,3,216
Iced Coffee,"Iced Coffee with Whole Milk and Sugar, Medium",130,1.5,1,0,<5,35,28,0,28,2,157
Iced Coffee,"Iced Coffee with Whole Milk and Sugar, Small",90,1,0.5,0,<5,25,19,0,19,1,108.5
Iced Coffee,Mocha Swirl Iced Coffee Large,210,1,0,0,0,50,50,2,46,2,254
Iced Coffee,Mocha Swirl Iced Coffee Medium,160,0.5,0,0,0,35,38,2,34,2,192
Iced Coffee,Mocha Swirl Iced Coffee Small,110,0,0,0,0,25,25,1,23,1,132
Iced Coffee,"Mocha Swirl Iced Coffee with Cream, Large",330,12,7,0,35,90,52,2,47,4,380
Iced Coffee,"Mocha Swirl Iced Coffee with Cream, Medium",240,9,5,0,25,65,39,2,35,3,277
Iced Coffee,"Mocha Swirl Iced Coffee with Cream, Small",160,6,3.5,0,20,45,26,1,24,2,185.5
Iced Coffee,"Butter Pecan Swirl Iced Coffee with Black, Large",220,0,0,0,0,280,50,0,48,4,264
Iced Coffee,"Butter Pecan Swirl Iced Coffee with Black, Medium",170,0,0,0,0,210,38,0,36,3,203
Iced Coffee,"Butter Pecan Swirl Iced Coffee with Black, Small",110,0,0,0,0,140,25,0,24,2,132
Iced Coffee,"Butter Pecan Swirl Iced Coffee with Cream, Large",340,12,6,0,35,320,52,0,50,5,391
Iced Coffee,"Butter Pecan Swirl Iced Coffee with Cream, Medium",250,9,4.5,0,30,240,39,0,37,4,287.5
Iced Coffee,"Butter Pecan Swirl Iced Coffee with Cream, Small",170,6,3,0,20,160,26,0,25,3,195
Iced Latte,"Caramel Craze Signature Iced Latte with Skim Milk, Large",430,6,3.5,0,30,250,79,0,75,16,492.5
Iced Latte,"Caramel Craze Signature Iced Latte with Skim Milk, Medium",340,5,3,0,25,190,61,0,57,12,388
Iced Latte,"Caramel Craze Signature Iced Latte with Skim Milk, Small",250,5,3,0,20,130,43,0,40,8,285
Iced Latte,"Caramel Craze Signature Iced Latte with Whole Milk, Large",530,17,10,0.5,60,250,79,0,74,15,599
Iced Latte,"Caramel Craze Signature Iced Latte with Whole Milk, Medium",410,14,8,0,45,190,61,0,57,11,464
Iced Latte,"Caramel Craze Signature Iced Latte with Whole Milk, Small",300,11,6,0,35,130,43,0,39,8,337
Iced Latte,"Caramel Swirl Iced Latte with Skim Milk, Large",350,0,0,0,10,250,71,0,69,15,404
Iced Latte,"Caramel Swirl Iced Latte with Skim Milk, Medium",260,0,0,0,10,190,53,0,52,11,301
Iced Latte,"Caramel Swirl Iced Latte with Skim Milk, Small",180,0,0,0,<5,125,36,0,35,8,207
Iced Latte,"Caramel Swirl Iced Latte with Whole Milk, Large",450,12,7,0,40,250,70,0,69,14,512
Iced Latte,"Caramel Swirl Iced Latte with Whole Milk, Medium",340,9,5,0,30,190,53,0,52,11,386
Iced Latte,"Caramel Swirl Iced Latte with Whole Milk, Small",230,6,3.5,0,20,125,35,0,34,7,260.5
Iced Latte,"Cocoa Mocha Signature Iced Latte with Skim Milk, Large",420,6,4,0,25,220,78,2,69,15,478
Iced Latte,"Cocoa Mocha Signature Iced Latte with Skim Milk, Medium",330,6,3.5,0,20,160,60,2,52,11,374.5
Iced Latte,"Cocoa Mocha Signature Iced Latte with Skim Milk, Small",250,5,3.5,0,20,115,43,1,36,8,281.5
Iced Latte,"Cocoa Mocha Signature Iced Latte with Whole Milk, Large",520,18,11,0.5,55,220,77,2,68,14,585
Iced Latte,"Cocoa Mocha Signature Iced Latte with Whole Milk, Medium",400,14,9,0,45,170,60,2,52,10,451
Iced Latte,"Cocoa Mocha Signature Iced Latte with Whole Milk, Small",300,11,7,0,35,115,42,1,36,7,336
Iced Latte,"French Vanilla Swirl Iced Latte with Skim Milk, Large",350,0,0,0,10,240,71,0,67,15,402
Iced Latte,"French Vanilla Swirl Iced Latte with Skim Milk, Medium",260,0,0,0,10,180,53,0,50,11,299
Iced Latte,"French Vanilla Swirl Iced Latte with Skim Milk, Small",170,0,0,0,<5,120,35,0,33,7,196
Iced Latte,"French Vanilla Swirl Iced Latte with Whole Milk, Large",450,12,7,0,40,240,70,0,66,14,509
Iced Latte,"French Vanilla Swirl Iced Latte with Whole Milk, Medium",330,9,5,0,30,180,52,0,50,11,374
Iced Latte,"French Vanilla Swirl Iced Latte with Whole Milk, Small",220,6,3.5,0,20,120,35,0,33,7,249.5
Iced Latte,"Hazelnut Swirl Iced Latte with Skim Milk, Large",350,0,0,0,10,240,71,0,67,15,402
Iced Latte,"Hazelnut Swirl Iced Latte with Skim Milk, Medium",260,0,0,0,10,180,53,0,50,11,299
Iced Latte,"Hazelnut Swirl Iced Latte with Skim Milk, Small",170,0,0,0,<5,120,35,0,33,7,196
Iced Latte,"Hazelnut Swirl Iced Latte with Whole Milk, Large",450,12,7,0,40,240,70,0,66,14,509
Iced Latte,"Hazelnut Swirl Iced Latte with Whole Milk, Medium",340,9,5,0,30,180,53,0,50,11,384
Iced Latte,"Hazelnut Swirl Iced Latte with Whole Milk, Small",220,6,3.5,0,20,120,35,0,33,7,249.5
Iced Latte,"Iced Latte with Almond Milk, Large",130,3.5,0,0,0,260,23,1,20,2,148
Iced Latte,"Iced Latte with Almond Milk, Medium",100,3,0,0,0,190,17,1,15,1,114
Iced Latte,"Iced Latte with Almond Milk, Small",70,2,0,0,0,130,11,0,10,1,79
Iced Latte,"Iced Latte with Skim Milk, Large",130,0,0,0,<5,180,20,0,18,12,136
Iced Latte,"Iced Latte with Skim Milk, Medium",100,0,0,0,<5,135,15,0,14,9,105
Iced Latte,"Iced Latte with Skim Milk, Small",70,0,0,0,<5,90,10,0,9,6,73
Iced Latte,"Iced Latte with Skim Milk and Sugar, Large",270,0,0,0,<5,180,54,0,53,12,311
Iced Latte,"Iced Latte with Skim Milk and Sugar, Medium",200,0,0,0,<5,135,41,0,40,9,231
Iced Latte,"Iced Latte with Skim Milk and Sugar, Small",130,0,0,0,<5,90,27,0,26,6,150
Iced Latte,"Iced Latte with Whole Milk, Large",230,12,7,0,35,180,19,0,18,12,243
Iced Latte,"Iced Latte with Whole Milk, Medium",170,9,5,0,25,135,14,0,13,9,179
Iced Latte,"Iced Latte with Whole Milk, Small",120,6,3.5,0,20,90,9,0,9,6,126.5
Iced Latte,"Iced Latte with Whole Milk and Sugar, Large",370,12,7,0,35,180,54,0,52,12,417
Iced Latte,"Iced Latte with Whole Milk and Sugar, Medium",270,9,5,0,25,135,40,0,39,9,305
Iced Latte,"Iced Latte with Whole Milk and Sugar, Small",180,6,3.5,0,20,90,27,0,26,6,203.5
Iced Latte,"Mocha Swirl Iced Latte with Skim Milk, Large",340,1,0.5,0,<5,210,70,2,64,14,390.5
Iced Latte,"Mocha Swirl Iced Latte with Skim Milk, Medium",250,1,0.5,0,<5,160,52,2,48,10,288.5
Iced Latte,"Mocha Swirl Iced Latte with Skim Milk, Small",170,0.5,0,0,<5,105,35,1,32,7,195
Iced Latte,"Mocha Swirl Iced Latte with Whole Milk, Large",440,13,7,0,35,220,69,2,63,13,497
Iced Latte,"Mocha Swirl Iced Latte with Whole Milk, Medium",330,10,6,0,25,160,52,2,47,10,373
Iced Latte,"Mocha Swirl Iced Latte with Whole Milk, Small",220,6,3.5,0,20,110,35,1,32,7,248.5
Iced Latte,"Butter Pecan Swirl Iced Latte with Skim Milk, Large",350,0.5,0,0,10,440,70,0,66,16,400
Iced Latte,"Butter Pecan Swirl Iced Latte with Skim Milk, Medium",260,0,0,0,<5,330,52,0,50,12,298
Iced Latte,"Butter Pecan Swirl Iced Latte with Skim Milk, Small",170,0,0,0,<5,220,35,0,33,8,195
Iced Latte,"Butter Pecan Swirl Iced Latte with Whole Milk, Large",450,12,7,0,40,440,69,0,66,15,508
Iced Latte,"Butter Pecan Swirl Iced Latte with Whole Milk, Medium",330,9,5,0,30,330,52,0,49,11,373
Iced Latte,"Butter Pecan Swirl Iced Latte with Whole Milk, Small",220,6,3.5,0,20,220,35,0,33,7,249.5
Iced Latte,"Matcha Iced Latte with Skim Milk, Large",240,0,0,0,<5,170,45,2,43,14,269
Iced Latte,"Matcha Iced Latte with Skim Milk, Medium",180,0,0,0,<5,125,34,1,32,11,201
Iced Latte,"Matcha Iced Latte with Skim Milk, Small",120,0,0,0,<5,85,23,1,22,7,135
Iced Latte,"Matcha Iced Latte with Whole Milk, Large",340,12,7,0,35,170,44,2,43,13,377
Iced Latte,"Matcha Iced Latte with Whole Milk, Medium",250,9,5,0,25,130,33,1,32,10,277
Iced Latte,"Matcha Iced Latte with Whole Milk, Small",170,6,3.5,0,20,85,22,1,21,7,187.5
Iced Macchiato,"Caramel Swirl Iced Macchiato with Skim Milk, Large",310,0,0,0,10,200,66,0,63,11,362
Iced Macchiato,"Caramel Swirl Iced Macchiato with Skim Milk, Medium",240,0,0,0,<5,150,49,0,47,8,279
Iced Macchiato,"Caramel Swirl Iced Macchiato with Skim Milk, Small",160,0,0,0,<5,105,33,0,32,6,186
Iced Macchiato,"Caramel Swirl Iced Macchiato with Whole Milk, Large",380,8,4.5,0,30,200,65,0,63,11,436.5
Iced Macchiato,"Caramel Swirl Iced Macchiato with Whole Milk, Medium",290,6,3.5,0,20,150,49,0,47,8,332.5
Iced Macchiato,"Caramel Swirl Iced Macchiato with Whole Milk, Small",190,4,2.5,0,15,105,33,0,31,5,218.5
Iced Macchiato,"French Vanilla Swirl Iced Macchiato with Skim Milk, Large",310,0,0,0,10,190,65,0,61,11,360
Iced Macchiato,"French Vanilla Swirl Iced Macchiato with Skim Milk, Medium",230,0,0,0,<5,150,49,0,46,8,268
Iced Macchiato,"French Vanilla Swirl Iced Macchiato with Skim Milk, Small",160,0,0,0,<5,100,33,0,30,5,185
Iced Macchiato,"French Vanilla Swirl Iced Macchiato with Whole Milk, Large",380,8,4.5,0,30,200,65,0,60,10,434.5
Iced Macchiato,"French Vanilla Swirl Iced Macchiato with Whole Milk, Medium",280,6,3.5,0,20,150,49,0,45,8,320.5
Iced Macchiato,"French Vanilla Swirl Iced Macchiato with Whole Milk, Small",190,4,2.5,0,15,100,33,0,30,5,217.5
Iced Macchiato,"Hazelnut Swirl Iced Macchiato with Skim Milk, Large",310,0,0,0,10,190,65,0,61,11,360
Iced Macchiato,"Hazelnut Swirl Iced Macchiato with Skim Milk, Medium",230,0,0,0,<5,150,49,0,46,8,268
Iced Macchiato,"Hazelnut Swirl Iced Macchiato with Skim Milk, Small",160,0,0,0,<5,100,33,0,30,5,185
Iced Macchiato,"Hazelnut Swirl Iced Macchiato with Whole Milk, Large",380,8,4.5,0,30,200,65,0,60,10,434.5
Iced Macchiato,"Hazelnut Swirl Iced Macchiato with Whole Milk, Medium",280,6,3.5,0,20,150,49,0,45,8,320.5
Iced Macchiato,"Hazelnut Swirl Iced Macchiato with Whole Milk, Small",190,4,2.5,0,15,100,33,0,30,5,217.5
Iced Macchiato,"Iced Macchiato with Skim Milk, Large",90,0,0,0,<5,135,14,0,12,8,94
Iced Macchiato,"Iced Macchiato with Skim Milk, Medium",70,0,0,0,<5,100,11,0,9,6,73
Iced Macchiato,"Iced Macchiato with Skim Milk, Small",50,0,0,0,0,70,7,0,6,4,52
Iced Macchiato,"Iced Macchiato with Skim Milk and Sugar, Large",230,0,0,0,<5,135,49,0,47,8,269
Iced Macchiato,"Iced Macchiato with Skim Milk and Sugar, Medium",170,0,0,0,<5,100,37,0,35,6,199
Iced Macchiato,"Iced Macchiato with Skim Milk and Sugar, Small",120,0,0,0,0,70,25,0,23,4,139
Iced Macchiato,"Iced Macchiato with Whole Milk, Large",160,8,4.5,0,25,135,14,0,12,8,168.5
Iced Macchiato,"Iced Macchiato with Whole Milk, Medium",120,6,3.5,0,20,105,10,0,9,6,126.5
Iced Macchiato,"Iced Macchiato with Whole Milk, Small",80,4,2.5,0,10,70,7,0,6,4,84.5
Iced Macchiato,"Iced Macchiato with Whole Milk and Sugar, Large",290,8,4.5,0,25,140,49,0,46,8,332.5
Iced Macchiato,"Iced Macchiato with Whole Milk and Sugar, Medium",220,6,3.5,0,20,105,37,0,35,6,252.5
Iced Macchiato,"Iced Macchiato with Whole Milk and Sugar, Small",150,4,2.5,0,10,70,25,0,23,4,171.5
Iced Macchiato,"Mocha Swirl Iced Macchiato with Skim Milk, Large",300,1,0.5,0,<5,160,65,2,58,10,348.5
Iced Macchiato,"Mocha Swirl Iced Macchiato with Skim Milk, Medium",230,1,0.5,0,<5,125,49,2,43,7,266.5
Iced Macchiato,"Mocha Swirl Iced Macchiato with Skim Milk, Small",150,0.5,0,0,0,85,33,1,29,5,174
Iced Macchiato,"Mocha Swirl Iced Macchiato with Whole Milk, Large",370,9,5,0,25,170,64,2,57,9,423
Iced Macchiato,"Mocha Swirl Iced Macchiato with Whole Milk, Medium",280,7,4,0,20,125,48,2,43,7,320
Iced Macchiato,"Mocha Swirl Iced Macchiato with Whole Milk, Small",180,4.5,2.5,0,10,85,32,1,29,5,206.5
Iced Macchiato,"Butter Pecan Swirl Iced Macchiato with Skim Milk, Large",310,0,0,0,<5,390,64,0,60,12,358
Iced Macchiato,"Butter Pecan Swirl Iced Macchiato with Skim Milk, Medium",230,0,0,0,<5,290,48,0,45,9,266
Iced Macchiato,"Butter Pecan Swirl Iced Macchiato with Skim Milk, Small",160,0,0,0,<5,200,33,0,30,6,184
Iced Macchiato,"Butter Pecan Swirl Iced Macchiato with Whole Milk, Large",380,8,4.5,0,25,390,64,0,60,11,433.5
Iced Macchiato,"Butter Pecan Swirl Iced Macchiato with Whole Milk, Medium",280,6,3.5,0,20,300,48,0,45,8,320.5
Iced Macchiato,"Butter Pecan Swirl Iced Macchiato with Whole Milk, Small",190,4,2.5,0,15,200,32,0,30,6,216.5
Iced Tea,"Iced Green Tea Sweetened, Large",140,0,0,0,0,15,33,0,22,1,161
Iced Tea,"Iced Green Tea Sweetened, Medium",100,0,0,0,0,10,25,0,25,1,124
Iced Tea,"Iced Green Tea Sweetened, Small",70,0,0,0,0,10,16,0,16,1,85
Iced Tea,"Iced Green Tea Unsweetened, Large",5,0,0,0,0,15,0,0,0,1,4
Iced Tea,"Iced Green Tea Unsweetened, Medium",5,0,0,0,0,10,0,0,0,1,4
Iced Tea,"Iced Green Tea Unsweetened, Small",5,0,0,0,0,10,0,0,0,1,4
Iced Tea,"Iced Tea Sweetened, Large",140,0,0,0,0,25,35,0,33,0,173
Iced Tea,"Iced Tea Sweetened, Medium",100,0,0,0,0,20,26,0,25,0,125
Iced Tea,"Iced Tea Sweetened, Small",70,0,0,0,0,15,17,0,16,0,86
Iced Tea,"Iced Tea Sweetened Blueberry Flavored Tea, Large",150,0,0,0,0,25,38,0,33,0,183
Iced Tea,"Iced Tea Sweetened Blueberry Flavored Tea, Medium",110,0,0,0,0,20,28,0,25,0,135
Iced Tea,"Iced Tea Sweetened Blueberry Flavored Tea, Small",80,0,0,0,0,15,19,0,17,0,97
Iced Tea,"Iced Tea Sweetened Raspberry Flavored, Large",150,0,0,0,0,25,38,0,33,0,183
Iced Tea,"Iced Tea Sweetened Raspberry Flavored, Medium",110,0,0,0,0,20,29,0,25,0,135
Iced Tea,"Iced Tea Sweetened Raspberry Flavored, Small",80,0,0,0,0,15,19,0,17,0,97
Iced Tea,"Iced Tea Unsweetened, Large",5,0,0,0,0,25,2,0,0,0,5
Iced Tea,"Iced Tea Unsweetened, Medium",5,0,0,0,0,20,1,0,0,0,5
Iced Tea,"Iced Tea Unsweetened, Small",5,0,0,0,0,15,1,0,0,0,5
Iced Tea,"Iced Tea Unsweetened Blueberry Flavored Tea, Large",20,0,0,0,0,25,5,0,0,0,20
Iced Tea,"Iced Tea Unsweetened Blueberry Flavored Tea, Medium",15,0,0,0,0,20,3,0,0,0,15
Iced Tea,"Iced Tea Unsweetened Blueberry Flavored Tea, Small",10,0,0,0,0,15,2,0,0,0,10
Iced Tea,"Iced Tea Unsweetened Raspberry Flavored, Large",20,0,0,0,0,25,5,0,0,0,20
Iced Tea,"Iced Tea Unsweetened Raspberry Flavored, Medium",15,0,0,0,0,20,4,0,0,0,15
Iced Tea,"Iced Tea Unsweetened Raspberry Flavored, Small",10,0,0,0,0,15,3,0,0,0,10
Iced Tea,"Sweet Tea, Large",310,0,0,0,0,25,79,0,78,0,388
Iced Tea,"Sweet Tea, Medium",230,0,0,0,0,20,60,0,58,0,288
Iced Tea,"Sweet Tea, Small",150,0,0,0,0,15,40,0,39,0,189
Iced Tea,"Sweet Tea Blueberry Flavored, Large",330,0,0,0,0,30,86,0,81,0,411
Iced Tea,"Sweet Tea Blueberry Flavored, Medium",250,0,0,0,0,20,64,0,60,0,310
Iced Tea,"Sweet Tea Blueberry Flavored, Small",170,0,0,0,0,15,43,0,40,0,210
Iced Tea,"Sweet Tea Raspberry Flavored, Large",330,0,0,0,0,30,86,0,81,0,411
Iced Tea,"Sweet Tea Raspberry Flavored, Medium",250,0,0,0,0,20,65,0,60,0,310
Iced Tea,"Sweet Tea Raspberry Flavored, Small",170,0,0,0,0,15,43,0,40,0,210
Dunkin’ Refreshers,"Peach Passion Fruit Dunkin’ Refreshers, Large",180,0,0,0,0,20,43,0,39,1,218
Dunkin’ Refreshers,"Peach Passion Fruit Dunkin’ Refreshers, Medium",130,0,0,0,0,15,32,0,29,1,158
Dunkin’ Refreshers,"Peach Passion Fruit Dunkin’ Refreshers, Small",90,0,0,0,0,10,21,0,20,0,110
Dunkin’ Refreshers,"Strawberry Dragonfruit Dunkin’ Refreshers, Large",170,0,0,0,0,20,39,0,37,1,206
Dunkin’ Refreshers,"Strawberry Dragonfruit Dunkin’ Refreshers, Medium",130,0,0,0,0,15,29,0,27,1,156
Dunkin’ Refreshers,"Strawberry Dragonfruit Dunkin’ Refreshers, Small",80,0,0,0,0,10,19,0,18,0,98
Dunkin’ Refreshers,"Butter Pecan Swirl Frozen Chocolate, Large",900,17,13,0,40,570,175,1,162,12,1063
Dunkin’ Refreshers,"Butter Pecan Swirl Frozen Chocolate, Medium",700,14,10,0,30,430,134,1,124,9,825
Dunkin’ Refreshers,"Butter Pecan Swirl Frozen Chocolate, Small",500,11,8,0,25,290,95,1,87,6,589
Kolache,Kolache (Regional),390,23,7,0,60,1020,31,1,7,15,389
Kolache,Kosher Beyond Sausage Sandwich,510,26,10,0,185,810,39,2,3,27,496
Kolache,Kosher Beyond Sausage Wake-Up Wrap,280,17,8,0,105,500,15,1,1,15,274
Kolache,Kosher Big n’ Toasted,610,37,10,0,340,1260,44,0,3,24,599
Kolache,Kosher Dunkin’ Double Veggie Sausage Sandwich,600,18,6,0,180,1460,74,6,8,37,577
Kolache,Kosher Egg and Cheese on an English Muffin,340,14,5,0,180,600,38,1,3,14,334
Kolache,Kosher Egg and Cheese Wake Up Wrap,170,10,4,0,95,410,14,0,1,7,168
Kolache,Kosher Grilled Cheese (Regional),420,23,12,0,55,840,36,0,3,17,418
Kolache,Kosher Grilled Cheese with Veggie Bacon (Regional),480,27,12,0,55,1060,38,0,3,19,476
Kolache,Kosher Power Breakfast Sandwich,360,16,6,0,25,800,30,6,5,26,345
Kolache,Kosher Tuna Melt on a Croissant,630,42,15,0,65,820,38,1,5,24,626
Kolache,Kosher Tuna Salad on a Plain Bagel,510,17,3,0,45,1060,64,4,7,24,496
Kolache,Kosher Veggie Bacon Egg and Cheese on a Plain Bagel,510,17,5,0,180,1170,68,4,7,21,501
Kolache,Kosher Veggie Bacon Wake-Up Wrap,200,12,4.5,0,95,520,15,0,1,8,197.5
Kolache,Kosher Veggie Sausage Egg and Cheese on a Croissant,570,33,13,0,180,840,44,2,6,23,566
Kolache,Kosher Veggie Sausage Wake-Up Wrap,210,11,4,0,95,540,16,1,1,11,204
Muffins,Blueberry Muffin,460,15,3,0,60,390,77,1,44,6,501
Muffins,Chocolate Chip Muffin,550,21,6,0,65,400,85,2,49,7,598
Muffins,Coffee Cake Muffin,590,24,8,0,65,370,88,2,51,7,642
Muffins,Corn Muffin,460,16,3,0,70,670,73,1,30,7,486
Muffins,Butternut Munchkins,90,4,2,0,<5,70,12,0,7,1,98
Muffins,Cinnamon Munchkins,60,3.5,1.5,0,<5,70,6,0,2,1,62.5
Muffins,Glazed Blueberry Munchkins,70,3.5,2,0,<5,65,8,0,4,1,75
Muffins,Glazed Chocolate Munchkins,60,3.5,1.5,0,0,80,8,0,4,1,64.5
Muffins,Glazed Munchkins,60,3,1.5,0,0,60,7,0,3,1,63.5
Muffins,Glazed Old Fashioned Munchkins,70,3.5,1.5,0,<5,70,8,0,4,1,74.5
Muffins,Jelly Munchkins,60,3,1.5,0,0,65,8,0,3,1,63.5
Muffins,Old Fashioned Munchkins,60,3.5,1.5,0,<5,70,6,0,2,1,62.5
Muffins,Powdered Munchkins,60,3.5,1.5,0,<5,70,6,0,2,1,62.5
Muffins,Multigrain Brown Sugar Oatmeal with Dried Fruit Topping,300,2.5,0,0,0,250,65,6,36,6,330
Muffins,Biscuit (Regional),270,14,9,0,10,640,32,1,2,5,276
Muffins,English Muffin,190,2,0,0,0,270,35,1,3,6,187
Muffins,Multigrain Thin,150,4,0.5,0,0,220,24,4,3,6,147.5
Muffins,Plain Croissant,340,19,8,0,0,250,37,1,5,6,347
Sandwiches,"Bacon, Egg and Cheese on a Plain Bagel",520,18,6,0,190,1200,67,4,8,23,511
Sandwiches,"Bacon, Egg and Cheese on Croissant",560,36,14,0,190,820,41,1,6,18,562
Sandwiches,"Bacon, Egg and Cheese on English Muffin",400,19,7,0,190,840,39,1,4,18,393
Sandwiches,"Bacon, Egg and Cheese Wake-Up Wrap",220,13,5,0,105,590,15,0,1,10,216
Sandwiches,Beyond Sausage Sandwich,510,26,10,0,185,820,40,2,3,26,497
Sandwiches,Beyond Sausage Wake Up Wrap,280,18,7,0,100,500,15,1,1,14,274
Sandwiches,Big n’ Toasted (Regional),600,36,11,0,360,1190,41,0,4,27,588
Sandwiches,"Biscuit, Bacon, Egg and Cheese (Regional)",490,31,15,0,195,1210,35,1,3,17,491
Sandwiches,Chicken Biscuit (Regional),460,22,11,0,45,1080,46,1,3,21,453
Sandwiches,Chicken Croissant Sandwich (Regional),650,36,14,0,65,1240,55,2,9,28,645
